Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2020-05-20,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-20,2020-05-20
2020-05-21,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-21,2020-05-21
2020-05-22,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-22,2020-05-22
2020-05-23,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-23,2020-05-23
2020-05-24,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-24,2020-05-24
2020-05-25,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-25,2020-05-25
2020-05-26,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-26,2020-05-26
2020-05-27,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-27,2020-05-27
2020-05-28,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-28,2020-05-28
2020-05-29,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-29,2020-05-29
2020-05-30,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-30,2020-05-30
2020-05-31,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-05-31,2020-05-31
2020-06-01,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-01,2020-06-01
2020-06-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-02,2020-06-02
2020-06-03,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-03,2020-06-03
2020-06-04,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-04,2020-06-04
2020-06-05,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-05,2020-06-05
2020-06-06,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-06,2020-06-06
2020-06-07,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-07,2020-06-07
2020-06-08,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-08,2020-06-08
2020-06-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-09,2020-06-09
2020-06-10,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-10,2020-06-10
2020-06-11,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-11,2020-06-11
2020-06-12,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-12,2020-06-12
2020-06-13,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-13,2020-06-13
2020-06-14,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-14,2020-06-14
2020-06-15,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-15,2020-06-15
2020-06-16,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-16,2020-06-16
2020-06-17,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-17,2020-06-17
2020-06-18,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-18,2020-06-18
2020-06-19,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-19,2020-06-19
2020-06-20,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-20,2020-06-20
2020-06-21,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-21,2020-06-21
2020-06-22,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-22,2020-06-22
2020-06-23,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-23,2020-06-23
2020-06-24,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-24,2020-06-24
2020-06-25,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-25,2020-06-25
2020-06-26,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-26,2020-06-26
2020-06-27,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-27,2020-06-27
2020-06-28,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-28,2020-06-28
2020-06-29,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-29,2020-06-29
2020-06-30,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-06-30,2020-06-30
2020-07-01,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-01,2020-07-01
2020-07-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-02,2020-07-02
2020-07-03,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-03,2020-07-03
2020-07-04,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-04,2020-07-04
2020-07-05,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-05,2020-07-05
2020-07-06,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-06,2020-07-06
2020-07-07,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-07,2020-07-07
2020-07-08,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-08,2020-07-08
2020-07-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-09,2020-07-09
2020-07-10,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-10,2020-07-10
2020-07-11,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-11,2020-07-11
2020-07-12,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-12,2020-07-12
2020-07-13,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-13,2020-07-13
2020-07-14,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-14,2020-07-14
2020-07-15,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-15,2020-07-15
2020-07-16,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-16,2020-07-16
2020-07-17,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-17,2020-07-17
2020-07-18,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-18,2020-07-18
2020-07-19,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-19,2020-07-19
2020-07-20,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-20,2020-07-20
2020-07-21,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-21,2020-07-21
2020-07-22,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-22,2020-07-22
2020-07-23,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-23,2020-07-23
2020-07-24,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-24,2020-07-24
2020-07-25,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-25,2020-07-25
2020-07-26,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-26,2020-07-26
2020-07-27,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-27,2020-07-27
2020-07-28,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-28,2020-07-28
2020-07-29,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-29,2020-07-29
2020-07-30,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-30,2020-07-30
2020-07-31,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-07-31,2020-07-31
2020-08-01,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-01,2020-08-01
2020-08-02,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-02,2020-08-02
2020-08-03,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-03,2020-08-03
2020-08-04,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-04,2020-08-04
2020-08-05,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-05,2020-08-05
2020-08-06,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-06,2020-08-06
2020-08-07,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-07,2020-08-07
2020-08-08,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-08,2020-08-08
2020-08-09,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-09,2020-08-09
2020-08-10,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-10,2020-08-10
2020-08-11,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-11,2020-08-11
2020-08-12,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-12,2020-08-12
2020-08-13,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-13,2020-08-13
2020-08-14,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-14,2020-08-14
2020-08-15,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-15,2020-08-15
2020-08-16,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-16,2020-08-16
2020-08-17,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-17,2020-08-17
2020-08-18,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-18,2020-08-18
2020-08-19,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-19,2020-08-19
2020-08-20,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-20,2020-08-20
2020-08-21,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-21,2020-08-21
2020-08-22,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-22,2020-08-22
2020-08-23,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-23,2020-08-23
2020-08-24,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-24,2020-08-24
2020-08-25,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-25,2020-08-25
2020-08-26,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-26,2020-08-26
2020-08-27,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-27,2020-08-27
2020-08-28,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-28,2020-08-28
2020-08-29,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-29,2020-08-29
2020-08-30,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-30,2020-08-30
2020-08-31,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-08-31,2020-08-31
2020-09-01,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-01,2020-09-01
2020-09-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-02,2020-09-02
2020-09-03,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-03,2020-09-03
2020-09-04,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-04,2020-09-04
2020-09-05,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-05,2020-09-05
2020-09-06,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-06,2020-09-06
2020-09-07,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-07,2020-09-07
2020-09-08,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-08,2020-09-08
2020-09-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-09,2020-09-09
2020-09-10,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-10,2020-09-10
2020-09-11,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-11,2020-09-11
2020-09-12,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-12,2020-09-12
2020-09-13,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-13,2020-09-13
2020-09-14,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-14,2020-09-14
2020-09-15,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-15,2020-09-15
2020-09-16,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-16,2020-09-16
2020-09-17,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-17,2020-09-17
2020-09-18,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-18,2020-09-18
2020-09-19,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-19,2020-09-19
2020-09-20,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-20,2020-09-20
2020-09-21,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-21,2020-09-21
2020-09-22,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-22,2020-09-22
2020-09-23,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-23,2020-09-23
2020-09-24,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-24,2020-09-24
2020-09-25,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-25,2020-09-25
2020-09-26,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-26,2020-09-26
2020-09-27,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-27,2020-09-27
2020-09-28,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-28,2020-09-28
2020-09-29,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-29,2020-09-29
2020-09-30,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-09-30,2020-09-30
2020-10-01,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-01,2020-10-01
2020-10-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-02,2020-10-02
2020-10-03,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-03,2020-10-03
2020-10-04,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-04,2020-10-04
2020-10-05,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-05,2020-10-05
2020-10-06,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-06,2020-10-06
2020-10-07,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-07,2020-10-07
2020-10-08,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-08,2020-10-08
2020-10-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-09,2020-10-09
2020-10-10,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-10,2020-10-10
2020-10-11,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-11,2020-10-11
2020-10-12,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-12,2020-10-12
2020-10-13,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-13,2020-10-13
2020-10-14,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-14,2020-10-14
2020-10-15,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-15,2020-10-15
2020-10-16,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-16,2020-10-16
2020-10-17,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-17,2020-10-17
2020-10-18,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-18,2020-10-18
2020-10-19,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-19,2020-10-19
2020-10-20,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-20,2020-10-20
2020-10-21,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-21,2020-10-21
2020-10-22,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-22,2020-10-22
2020-10-23,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-23,2020-10-23
2020-10-24,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-24,2020-10-24
2020-10-25,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-25,2020-10-25
2020-10-26,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-26,2020-10-26
2020-10-27,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-27,2020-10-27
2020-10-28,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-28,2020-10-28
2020-10-29,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-29,2020-10-29
2020-10-30,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-30,2020-10-30
2020-10-31,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-10-31,2020-10-31
2020-11-01,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-01,2020-11-01
2020-11-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-02,2020-11-02
2020-11-03,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-03,2020-11-03
2020-11-04,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-04,2020-11-04
2020-11-05,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-05,2020-11-05
2020-11-06,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-06,2020-11-06
2020-11-07,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-07,2020-11-07
2020-11-08,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-08,2020-11-08
2020-11-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-09,2020-11-09
2020-11-10,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-10,2020-11-10
2020-11-11,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-11,2020-11-11
2020-11-12,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-12,2020-11-12
2020-11-13,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-13,2020-11-13
2020-11-14,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-14,2020-11-14
2020-11-15,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-15,2020-11-15
2020-11-16,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-16,2020-11-16
2020-11-17,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-17,2020-11-17
2020-11-18,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-18,2020-11-18
2020-11-19,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-19,2020-11-19
2020-11-20,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-20,2020-11-20
2020-11-21,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-21,2020-11-21
2020-11-22,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-22,2020-11-22
2020-11-23,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-23,2020-11-23
2020-11-24,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-24,2020-11-24
2020-11-25,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-25,2020-11-25
2020-11-26,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-26,2020-11-26
2020-11-27,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-27,2020-11-27
2020-11-28,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-28,2020-11-28
2020-11-29,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-29,2020-11-29
2020-11-30,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-11-30,2020-11-30
2020-12-01,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-01,2020-12-01
2020-12-02,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-02,2020-12-02
2020-12-03,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-03,2020-12-03
2020-12-04,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-04,2020-12-04
2020-12-05,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-05,2020-12-05
2020-12-06,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-06,2020-12-06
2020-12-07,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-07,2020-12-07
2020-12-08,,,,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-08,2020-12-08
2020-12-09,1600.0,1600.0,1600.0,,1600.0000000000002,,,,100.0,2.2737367544323206e-13,,,,Buy,2020-12-09,2020-12-09
