Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2021-02-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-02,2021-02-02
2021-02-03,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-03,2021-02-03
2021-02-04,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-04,2021-02-04
2021-02-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-05,2021-02-05
2021-02-06,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-06,2021-02-06
2021-02-07,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-07,2021-02-07
2021-02-08,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-08,2021-02-08
2021-02-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-09,2021-02-09
2021-02-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-10,2021-02-10
2021-02-11,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-11,2021-02-11
2021-02-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-12,2021-02-12
2021-02-13,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-13,2021-02-13
2021-02-14,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-14,2021-02-14
2021-02-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-15,2021-02-15
2021-02-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-16,2021-02-16
2021-02-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-17,2021-02-17
2021-02-18,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-18,2021-02-18
2021-02-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-19,2021-02-19
2021-02-20,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-20,2021-02-20
2021-02-21,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-21,2021-02-21
2021-02-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-22,2021-02-22
2021-02-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-23,2021-02-23
2021-02-24,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-24,2021-02-24
2021-02-25,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-25,2021-02-25
2021-02-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-26,2021-02-26
2021-02-27,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-27,2021-02-27
2021-02-28,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-02-28,2021-02-28
2021-03-01,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-01,2021-03-01
2021-03-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-02,2021-03-02
2021-03-03,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-03,2021-03-03
2021-03-04,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-04,2021-03-04
2021-03-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-05,2021-03-05
2021-03-06,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-06,2021-03-06
2021-03-07,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-07,2021-03-07
2021-03-08,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-08,2021-03-08
2021-03-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-09,2021-03-09
2021-03-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-10,2021-03-10
2021-03-11,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-11,2021-03-11
2021-03-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-12,2021-03-12
2021-03-13,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-13,2021-03-13
2021-03-14,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-14,2021-03-14
2021-03-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-15,2021-03-15
2021-03-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-16,2021-03-16
2021-03-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-17,2021-03-17
2021-03-18,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-18,2021-03-18
2021-03-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-19,2021-03-19
2021-03-20,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-20,2021-03-20
2021-03-21,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-21,2021-03-21
2021-03-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-22,2021-03-22
2021-03-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-23,2021-03-23
2021-03-24,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-24,2021-03-24
2021-03-25,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-25,2021-03-25
2021-03-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-26,2021-03-26
2021-03-27,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-27,2021-03-27
2021-03-28,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-28,2021-03-28
2021-03-29,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-29,2021-03-29
2021-03-30,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-30,2021-03-30
2021-03-31,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-03-31,2021-03-31
2021-04-01,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-01,2021-04-01
2021-04-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-02,2021-04-02
2021-04-03,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-03,2021-04-03
2021-04-04,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-04,2021-04-04
2021-04-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-05,2021-04-05
2021-04-06,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-06,2021-04-06
2021-04-07,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-07,2021-04-07
2021-04-08,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-08,2021-04-08
2021-04-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-09,2021-04-09
2021-04-10,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-10,2021-04-10
2021-04-11,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-11,2021-04-11
2021-04-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-12,2021-04-12
2021-04-13,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-13,2021-04-13
2021-04-14,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-14,2021-04-14
2021-04-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-15,2021-04-15
2021-04-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-16,2021-04-16
2021-04-17,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-17,2021-04-17
2021-04-18,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-18,2021-04-18
2021-04-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-19,2021-04-19
2021-04-20,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-20,2021-04-20
2021-04-21,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-21,2021-04-21
2021-04-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-22,2021-04-22
2021-04-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-23,2021-04-23
2021-04-24,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-24,2021-04-24
2021-04-25,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-25,2021-04-25
2021-04-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-26,2021-04-26
2021-04-27,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-27,2021-04-27
2021-04-28,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-28,2021-04-28
2021-04-29,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-29,2021-04-29
2021-04-30,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-04-30,2021-04-30
2021-05-01,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-01,2021-05-01
2021-05-02,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-02,2021-05-02
2021-05-03,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-03,2021-05-03
2021-05-04,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-04,2021-05-04
2021-05-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-05,2021-05-05
2021-05-06,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-06,2021-05-06
2021-05-07,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-07,2021-05-07
2021-05-08,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-08,2021-05-08
2021-05-09,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-09,2021-05-09
2021-05-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-10,2021-05-10
2021-05-11,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-11,2021-05-11
2021-05-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-12,2021-05-12
2021-05-13,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-13,2021-05-13
2021-05-14,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-14,2021-05-14
2021-05-15,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-15,2021-05-15
2021-05-16,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-16,2021-05-16
2021-05-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-17,2021-05-17
2021-05-18,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-18,2021-05-18
2021-05-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-19,2021-05-19
2021-05-20,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-20,2021-05-20
2021-05-21,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-21,2021-05-21
2021-05-22,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-22,2021-05-22
2021-05-23,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-23,2021-05-23
2021-05-24,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-24,2021-05-24
2021-05-25,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-25,2021-05-25
2021-05-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-26,2021-05-26
2021-05-27,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-27,2021-05-27
2021-05-28,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-28,2021-05-28
2021-05-29,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-29,2021-05-29
2021-05-30,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-30,2021-05-30
2021-05-31,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-05-31,2021-05-31
2021-06-01,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-01,2021-06-01
2021-06-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-02,2021-06-02
2021-06-03,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-03,2021-06-03
2021-06-04,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-04,2021-06-04
2021-06-05,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-05,2021-06-05
2021-06-06,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-06,2021-06-06
2021-06-07,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-07,2021-06-07
2021-06-08,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-08,2021-06-08
2021-06-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-09,2021-06-09
2021-06-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-10,2021-06-10
2021-06-11,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-11,2021-06-11
2021-06-12,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-12,2021-06-12
2021-06-13,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-13,2021-06-13
2021-06-14,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-14,2021-06-14
2021-06-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-15,2021-06-15
2021-06-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-16,2021-06-16
2021-06-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-17,2021-06-17
2021-06-18,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-18,2021-06-18
2021-06-19,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-19,2021-06-19
2021-06-20,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-20,2021-06-20
2021-06-21,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-21,2021-06-21
2021-06-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-22,2021-06-22
2021-06-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-23,2021-06-23
2021-06-24,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-24,2021-06-24
2021-06-25,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-25,2021-06-25
2021-06-26,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-26,2021-06-26
2021-06-27,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-27,2021-06-27
2021-06-28,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-28,2021-06-28
2021-06-29,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-29,2021-06-29
2021-06-30,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-06-30,2021-06-30
2021-07-01,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-01,2021-07-01
2021-07-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-02,2021-07-02
2021-07-03,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-03,2021-07-03
2021-07-04,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-04,2021-07-04
2021-07-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-05,2021-07-05
2021-07-06,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-06,2021-07-06
2021-07-07,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-07,2021-07-07
2021-07-08,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-08,2021-07-08
2021-07-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-09,2021-07-09
2021-07-10,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-10,2021-07-10
2021-07-11,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-11,2021-07-11
2021-07-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-12,2021-07-12
2021-07-13,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-13,2021-07-13
2021-07-14,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-14,2021-07-14
2021-07-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-15,2021-07-15
2021-07-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-16,2021-07-16
2021-07-17,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-17,2021-07-17
2021-07-18,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-18,2021-07-18
2021-07-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-19,2021-07-19
2021-07-20,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-20,2021-07-20
2021-07-21,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-21,2021-07-21
2021-07-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-22,2021-07-22
2021-07-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-23,2021-07-23
2021-07-24,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-24,2021-07-24
2021-07-25,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-25,2021-07-25
2021-07-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-26,2021-07-26
2021-07-27,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-27,2021-07-27
2021-07-28,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-28,2021-07-28
2021-07-29,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-29,2021-07-29
2021-07-30,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-30,2021-07-30
2021-07-31,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-07-31,2021-07-31
2021-08-01,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-01,2021-08-01
2021-08-02,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-02,2021-08-02
2021-08-03,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-03,2021-08-03
2021-08-04,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-04,2021-08-04
2021-08-05,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-05,2021-08-05
2021-08-06,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-06,2021-08-06
2021-08-07,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-07,2021-08-07
2021-08-08,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-08,2021-08-08
2021-08-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-09,2021-08-09
2021-08-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-10,2021-08-10
2021-08-11,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-11,2021-08-11
2021-08-12,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-12,2021-08-12
2021-08-13,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-13,2021-08-13
2021-08-14,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-14,2021-08-14
2021-08-15,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-15,2021-08-15
2021-08-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-16,2021-08-16
2021-08-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-17,2021-08-17
2021-08-18,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-18,2021-08-18
2021-08-19,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-19,2021-08-19
2021-08-20,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-20,2021-08-20
2021-08-21,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-21,2021-08-21
2021-08-22,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-22,2021-08-22
2021-08-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-23,2021-08-23
2021-08-24,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-24,2021-08-24
2021-08-25,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-25,2021-08-25
2021-08-26,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-26,2021-08-26
2021-08-27,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-27,2021-08-27
2021-08-28,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-28,2021-08-28
2021-08-29,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-29,2021-08-29
2021-08-30,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-30,2021-08-30
2021-08-31,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-08-31,2021-08-31
2021-09-01,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-01,2021-09-01
2021-09-02,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-02,2021-09-02
2021-09-03,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-03,2021-09-03
2021-09-04,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-04,2021-09-04
2021-09-05,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-05,2021-09-05
2021-09-06,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-06,2021-09-06
2021-09-07,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-07,2021-09-07
2021-09-08,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-08,2021-09-08
2021-09-09,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-09,2021-09-09
2021-09-10,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-10,2021-09-10
2021-09-11,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-11,2021-09-11
2021-09-12,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-12,2021-09-12
2021-09-13,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-13,2021-09-13
2021-09-14,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-14,2021-09-14
2021-09-15,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-15,2021-09-15
2021-09-16,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-16,2021-09-16
2021-09-17,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-17,2021-09-17
2021-09-18,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-18,2021-09-18
2021-09-19,,,,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-19,2021-09-19
2021-09-20,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-20,2021-09-20
2021-09-21,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-21,2021-09-21
2021-09-22,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-22,2021-09-22
2021-09-23,1000.0,1000.0,1000.0,,999.9999999999994,,,,100.0,0.0,,,,Sell,2021-09-23,2021-09-23
