Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2018-02-11,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-11,2018-02-11
2018-02-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-12,2018-02-12
2018-02-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-13,2018-02-13
2018-02-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-14,2018-02-14
2018-02-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-15,2018-02-15
2018-02-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-16,2018-02-16
2018-02-17,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-17,2018-02-17
2018-02-18,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-18,2018-02-18
2018-02-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-19,2018-02-19
2018-02-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-20,2018-02-20
2018-02-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-21,2018-02-21
2018-02-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-22,2018-02-22
2018-02-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-23,2018-02-23
2018-02-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-24,2018-02-24
2018-02-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-25,2018-02-25
2018-02-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-26,2018-02-26
2018-02-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-27,2018-02-27
2018-02-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-02-28,2018-02-28
2018-03-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-01,2018-03-01
2018-03-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-02,2018-03-02
2018-03-03,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-03,2018-03-03
2018-03-04,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-04,2018-03-04
2018-03-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-05,2018-03-05
2018-03-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-06,2018-03-06
2018-03-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-07,2018-03-07
2018-03-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-08,2018-03-08
2018-03-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-09,2018-03-09
2018-03-10,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-10,2018-03-10
2018-03-11,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-11,2018-03-11
2018-03-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-12,2018-03-12
2018-03-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-13,2018-03-13
2018-03-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-14,2018-03-14
2018-03-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-15,2018-03-15
2018-03-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-16,2018-03-16
2018-03-17,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-17,2018-03-17
2018-03-18,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-18,2018-03-18
2018-03-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-19,2018-03-19
2018-03-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-20,2018-03-20
2018-03-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-21,2018-03-21
2018-03-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-22,2018-03-22
2018-03-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-23,2018-03-23
2018-03-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-24,2018-03-24
2018-03-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-25,2018-03-25
2018-03-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-26,2018-03-26
2018-03-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-27,2018-03-27
2018-03-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-28,2018-03-28
2018-03-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-29,2018-03-29
2018-03-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-30,2018-03-30
2018-03-31,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-03-31,2018-03-31
2018-04-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-01,2018-04-01
2018-04-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-02,2018-04-02
2018-04-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-03,2018-04-03
2018-04-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-04,2018-04-04
2018-04-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-05,2018-04-05
2018-04-06,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-06,2018-04-06
2018-04-07,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-07,2018-04-07
2018-04-08,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-08,2018-04-08
2018-04-09,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-09,2018-04-09
2018-04-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-10,2018-04-10
2018-04-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-11,2018-04-11
2018-04-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-12,2018-04-12
2018-04-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-13,2018-04-13
2018-04-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-14,2018-04-14
2018-04-15,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-15,2018-04-15
2018-04-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-16,2018-04-16
2018-04-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-17,2018-04-17
2018-04-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-18,2018-04-18
2018-04-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-19,2018-04-19
2018-04-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-20,2018-04-20
2018-04-21,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-21,2018-04-21
2018-04-22,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-22,2018-04-22
2018-04-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-23,2018-04-23
2018-04-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-24,2018-04-24
2018-04-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-25,2018-04-25
2018-04-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-26,2018-04-26
2018-04-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-27,2018-04-27
2018-04-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-28,2018-04-28
2018-04-29,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-29,2018-04-29
2018-04-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-04-30,2018-04-30
2018-05-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-01,2018-05-01
2018-05-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-02,2018-05-02
2018-05-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-03,2018-05-03
2018-05-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-04,2018-05-04
2018-05-05,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-05,2018-05-05
2018-05-06,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-06,2018-05-06
2018-05-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-07,2018-05-07
2018-05-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-08,2018-05-08
2018-05-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-09,2018-05-09
2018-05-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-10,2018-05-10
2018-05-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-11,2018-05-11
2018-05-12,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-12,2018-05-12
2018-05-13,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-13,2018-05-13
2018-05-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-14,2018-05-14
2018-05-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-15,2018-05-15
2018-05-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-16,2018-05-16
2018-05-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-17,2018-05-17
2018-05-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-18,2018-05-18
2018-05-19,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-19,2018-05-19
2018-05-20,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-20,2018-05-20
2018-05-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-21,2018-05-21
2018-05-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-22,2018-05-22
2018-05-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-23,2018-05-23
2018-05-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-24,2018-05-24
2018-05-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-25,2018-05-25
2018-05-26,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-26,2018-05-26
2018-05-27,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-27,2018-05-27
2018-05-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-28,2018-05-28
2018-05-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-29,2018-05-29
2018-05-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-30,2018-05-30
2018-05-31,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-05-31,2018-05-31
2018-06-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-01,2018-06-01
2018-06-02,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-02,2018-06-02
2018-06-03,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-03,2018-06-03
2018-06-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-04,2018-06-04
2018-06-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-05,2018-06-05
2018-06-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-06,2018-06-06
2018-06-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-07,2018-06-07
2018-06-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-08,2018-06-08
2018-06-09,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-09,2018-06-09
2018-06-10,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-10,2018-06-10
2018-06-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-11,2018-06-11
2018-06-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-12,2018-06-12
2018-06-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-13,2018-06-13
2018-06-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-14,2018-06-14
2018-06-15,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-15,2018-06-15
2018-06-16,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-16,2018-06-16
2018-06-17,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-17,2018-06-17
2018-06-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-18,2018-06-18
2018-06-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-19,2018-06-19
2018-06-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-20,2018-06-20
2018-06-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-21,2018-06-21
2018-06-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-22,2018-06-22
2018-06-23,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-23,2018-06-23
2018-06-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-24,2018-06-24
2018-06-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-25,2018-06-25
2018-06-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-26,2018-06-26
2018-06-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-27,2018-06-27
2018-06-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-28,2018-06-28
2018-06-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-29,2018-06-29
2018-06-30,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-06-30,2018-06-30
2018-07-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-01,2018-07-01
2018-07-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-02,2018-07-02
2018-07-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-03,2018-07-03
2018-07-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-04,2018-07-04
2018-07-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-05,2018-07-05
2018-07-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-06,2018-07-06
2018-07-07,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-07,2018-07-07
2018-07-08,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-08,2018-07-08
2018-07-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-09,2018-07-09
2018-07-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-10,2018-07-10
2018-07-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-11,2018-07-11
2018-07-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-12,2018-07-12
2018-07-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-13,2018-07-13
2018-07-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-14,2018-07-14
2018-07-15,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-15,2018-07-15
2018-07-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-16,2018-07-16
2018-07-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-17,2018-07-17
2018-07-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-18,2018-07-18
2018-07-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-19,2018-07-19
2018-07-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-20,2018-07-20
2018-07-21,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-21,2018-07-21
2018-07-22,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-22,2018-07-22
2018-07-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-23,2018-07-23
2018-07-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-24,2018-07-24
2018-07-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-25,2018-07-25
2018-07-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-26,2018-07-26
2018-07-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-27,2018-07-27
2018-07-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-28,2018-07-28
2018-07-29,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-29,2018-07-29
2018-07-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-30,2018-07-30
2018-07-31,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-07-31,2018-07-31
2018-08-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-01,2018-08-01
2018-08-02,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-02,2018-08-02
2018-08-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-03,2018-08-03
2018-08-04,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-04,2018-08-04
2018-08-05,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-05,2018-08-05
2018-08-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-06,2018-08-06
2018-08-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-07,2018-08-07
2018-08-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-08,2018-08-08
2018-08-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-09,2018-08-09
2018-08-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-10,2018-08-10
2018-08-11,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-11,2018-08-11
2018-08-12,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-12,2018-08-12
2018-08-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-13,2018-08-13
2018-08-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-14,2018-08-14
2018-08-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-15,2018-08-15
2018-08-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-16,2018-08-16
2018-08-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-17,2018-08-17
2018-08-18,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-18,2018-08-18
2018-08-19,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-19,2018-08-19
2018-08-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-20,2018-08-20
2018-08-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-21,2018-08-21
2018-08-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-22,2018-08-22
2018-08-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-23,2018-08-23
2018-08-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-24,2018-08-24
2018-08-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-25,2018-08-25
2018-08-26,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-26,2018-08-26
2018-08-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-27,2018-08-27
2018-08-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-28,2018-08-28
2018-08-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-29,2018-08-29
2018-08-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-30,2018-08-30
2018-08-31,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-08-31,2018-08-31
2018-09-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-01,2018-09-01
2018-09-02,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-02,2018-09-02
2018-09-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-03,2018-09-03
2018-09-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-04,2018-09-04
2018-09-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-05,2018-09-05
2018-09-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-06,2018-09-06
2018-09-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-07,2018-09-07
2018-09-08,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2018-09-08,2018-09-08
